序号,姓名,描述,武力,智力,合,必杀技,军师技,武器,可用阵形,使用阵形,可用兵种,使用兵种,黄巾之乱剧本及君主,讨伐董卓剧本及君主,群雄割据剧本及君主,赤壁之战剧本及君主,三国鼎立剧本及君主,血统,节操
106,法正,法正（176年－220年），字孝直。扶风郿（今陕西省眉县小法仪镇）人。东汉末年刘备帐下谋士，名士法真之孙。原为刘璋部下，刘备围成都时劝说刘璋投降，而后又与刘备进取汉中，献计将曹操大将夏侯渊斩首。法正善奇谋，深受刘备信任和敬重。建安二十四年（219年），刘备进位汉中王，封法正为尚书令、护军将军。次年，法正去世，终年四十五岁。法正之死令刘备十分感伤，连哭数日。被追谥为翼侯，是刘备时代唯一一位有谥号的大臣。法正善于奇谋，被陈寿称赞为可比曹操帐下的程昱和郭嘉。《全三国文》辑录有其文一篇[1] 。,61,94,155,伏兵组阵1虎咆7御飞刀13地泉裂劲18黄龙天翔23火雷星雨28赤焰火海34五雷轰顶40,降敌士气(初)1增加体力(初)5扰乱敌将(中)11减少疲劳(中)17恢复技力(中)11减少疲劳(中)17恢复技力(中)23混乱敌军(中)29保留气力(高)35混乱敌军(高)40,直剑,圆 玄 ,圆,铁 ,铁,,,永安登,永安登,汉中登,,4
107,沮授,沮授（？－200年），广平人，东汉末年袁绍的监军。沮授“少有大志，多权略”。曾为冀州别驾，举茂才，并当过两次县令。后来又当韩馥别驾，被韩馥表为骑都尉。曾对韩馥提出良策，但不被采纳。在袁绍入主冀州后，沮授监统内外、威震三军，帮助袁绍夺取青州、并州、幽州而统一河北。沮授曾对袁绍提出奉迎天子，反对诸子分立，提出三年疲曹的战略，不但没有被袁绍采纳，反而被削弱兵权。在官渡之战中，沮授提出缓进战术，不被采纳。在乌巢被烧前夕，沮授提出外表护粮，又不被采纳。在袁绍大败后，沮授被俘获，拒绝投降。后来，沮授欲回河北，事败被杀。曹操曾叹息：“孤早相得，天下不足虑。”[1] ,66,90,156,地泉冲1雷击7虎咆震13木轮强袭19火雷爆25后伏兵阵31雷光燋狱36,减少疲劳(初)1增强攻击(初)7增加经验(初)13偷袭敌军18减缓集气(中)13偷袭敌军18减缓集气(中)24强化武将(中)31减缓集气(高)36,直剑,雁 玄 ,雁,铁 ,铁,南皮野,邺登,,,,,6
108,沮鹄,沮鹄，广平（治今河北鸡泽东）人，袁尚的部将。其父沮授为袁绍监军、奋威将军。及绍亡，鹄为其子尚守邯郸。建安九年四月，曹公击鹄于邯郸，拔之。,57,64,121,地泉冲1伏焰13雷光波动24,降敌士气(初)1诈败10喝阻敌军(初)20太公阵2920太公阵29,直剑,雁 ,雁,武 ,武,,,平原登,,,,4
109,金旋,金旋（？－209年），字元机，京兆郡长安县（今陕西省西安市）人，或为西汉名臣金日磾家族的后裔，有一子金祎。金旋担任过黄门侍郎、汉阳郡太守，先后官拜议郎、中郎将等官职，最后成为武陵郡太守。刘备在赤壁之战后推荐刘琦担任荆州刺史，南征荆州诸郡，金旋为刘备军所杀（一说投降刘备），武陵郡亦成为刘备治下领地。,65,52,117,突石1突石剑12火牛阵25,减缓集气(初)1诈败24,直剑,方 圆 ,圆,铁 ,铁,武陵野,武陵野,武陵野,武陵登,,,3
110,金环三结,金环三结，《三国演义》中的虚构人物，南蛮王孟获部下三洞元帅之一，第一洞元帅。奉孟获之命出战蜀军，但被蜀将赵云所杀。,78,40,118,落日弓1回天术7八面火转16地茅乱刺24滚石遽压30,保留气力(初)1,铜殳,方 玄 ,方,藤 ,藤,,,,,云南登,,2
111,阿会喃,阿会喃，南蛮王孟获属下大将，第三洞元帅；与董荼那等人一起担任孟获的援军出征，但是被俘虏，又被诸葛亮释放，再次出战时，被唾骂不知羞耻，面红耳赤的退军。后同董荼那共同绑架孟获献于蜀军，却被诸葛亮在其二人与孟获的重要性间权衡后出卖了他们，放走了孟获，使其为孟获所杀。,78,42,120,飞矢1伏兵班阵9冲车16烈火旋灯24驷冲车31,减缓集气(初)1,眉尖刀,方 玄 ,方,藤 ,藤,,,,云南登,云南登,,4
112,侯成,侯成，东汉末年吕布帐下名将。曹操围下邳三个月之后，侯成与宋宪、魏续缚陈宫、高顺，率众降曹操。在小说《三国演义》中，为吕布的八健将之一，吕布被酒色所伤故下禁酒令，侯成不知，献酒于吕布被吕布所打，与魏续、宋宪决定一起叛变，盗走赤兔马，投降于曹操。,71,47,118,落石1八门金锁10八面火转18乱飞矢27,鼓舞士气(初)1,短锥枪,玄 ,玄,炼 弩 ,弩,濮阳野,濮阳野,徐州登,弘农登,安定登,,2
113,姜维,姜维（202年～264年3月3日），字伯约，天水郡冀县（今甘肃省天水市甘谷县）人。三国时期蜀汉名将，天水功曹姜冏之子。[1] [7] [35] 姜维出身天水姜氏。年少丧父，侍奉母亲，崇拜儒家大师郑玄。诸葛亮北伐中原时，姜维受到猜忌，不得已投降蜀汉，得到蜀相诸葛亮重用。在诸葛亮去世后，姜维开始崭露头角。延熙十九年（256年），拜大将军，独掌军权，继续北伐事业，大战曹魏名将邓艾、陈泰、郭淮等，互有胜负。为躲避黄皓的迫害，前往沓中屯田避祸。蜀汉景耀七年（263年），魏国伐蜀，姜维摆脱邓艾等人，退守剑阁，阻挡钟会进军。邓艾阴平偷袭成都，后主刘禅投降。姜维志存光复，假意投降，与钟会反叛，事败被杀。[2] ,93,96,189,落日弓1火雷6龙炮12木轮强袭17黄龙天翔24三圣华斩28大地狂啸35狂雷天牢41,化解计策1增加经验(中)7增加体力(中)12劝降18十面埋伏12劝降18十面埋伏23增加技力(高)28混乱敌军(高)35喝阻敌军(高)40,短锥枪,方 圆 雁 鱼 ,鱼,枪 弓 ,枪,,,,,天水登,,5
114,皇甫嵩,皇甫嵩（？－195年），字义真。安定郡朝那县人。东汉末期名将，雁门太守皇甫节之子、度辽将军皇甫规之侄。皇甫嵩出身于将门世家，最初被举为孝廉、茂才。汉灵帝时被征为侍郎，迁北地太守。黄巾起义爆发后，与宦官吕强上疏请求解除党禁，被授为左中郎将，率兵讨平黄巾之乱，“威震天下”[1] 。战后升任左车骑将军，领冀州牧，封槐里侯。到任后，他奏请减免冀州百姓一年的租税。后因得罪权宦赵忠、张让而被罢免，改封都乡侯。中平五年（188年），被起用为左将军，击破王国叛军。董卓掌权时，皇甫嵩遭到陷害，经其子皇甫坚寿求情，才得以保全性命。董卓被诛后，出任征西将军，诛灭其宗族。晚年历任车骑将军、太尉、光禄大夫、太常等职。兴平二年（195年），皇甫嵩去世，获赠骠骑将军。唐德宗时，位列武成王庙六十四将[2] ；宋徽宗时，位列武庙七十二将之一。概述内图片来源：三国志12,69,73,142,木轮攻1伏焰10火箭烈18火雷爆27,降敌士气(初)1诈败8鼓舞士气(中)15太公阵24恢复技力(中)15太公阵24恢复技力(中)31,直剑,圆 鱼 ,鱼,刀 ,刀,弘农登,弘农登,,,,,3
115,纪灵,纪灵，是东汉末年袁术帐下将领，勇猛非常，曾奉命率军攻打小沛的刘备，在吕布辕门射戟的调停下撤兵。建安元年（196年）袁术派遣纪灵等领导步骑三万人攻刘备，刘备向吕布求救。吕布领步兵一千人、骑兵二百人前往救援刘备。吕布到来后双方停战，吕布邀请双方赴宴并施展“辕门射戟”，技惊四座，纪灵和刘备同意撤军。,85,36,121,连弩1八门金锁7连弩激射13火牛阵20伏兵连阵27茅刺遍地34,减少疲劳(初)1,短锥枪,锥 鱼 ,锥,刀 ,刀,宛野,宛登袁术,袁术,,,,4
116,胡车儿,胡车儿（生卒年不详），东汉末年西凉军中武将，初从张绣，为其心腹猛将，勇冠三军，与贾诩交情甚佳。宛城大战后，张绣投降曹操，曹操爱胡车儿之骁勇，手以黄金与之。后因曹操私纳张绣亡叔张济的遗孀邹氏，张绣深感其辱，欲杀曹操，与贾诩商议后决心反曹。《三国演义》中，作者考虑到典韦的勇猛，便增加了令胡车儿盗走典韦的双戟的情节。最终典韦、曹昂（曹操长子）、曹安民（曹操侄子）皆死于此次战斗。野史说胡车儿跟随曹操征战，被赵云在长坂坡上红枪挑死。,74,58,132,飞矢1鬼戟9冰柱刺19乱飞矢27,离间计(初)1增加技力(初)13逼近敌军2727,铜殳,钩 ,钩,飞 ,飞,,,洛阳登,,,,3
117,胡班,为《三国演义》所杜撰的人物，正史无记载，荥阳太守王植麾下从事、桓帝时议郎胡华之子。关羽过五关斩六将时其中一关就是王植所镇守，胡班奉命放火夜袭关公，因敬服公之气概，并得其父托公所带家书，班看毕，叹曰：“险些误杀忠良！”故将之放走。胡班到荆州来投降关公，公念其旧日相救之情，甚爱之；令随费诗入川，见汉中王受爵。费诗辞别关公，带了胡班，自回蜀中去了。,68,52,120,飞矢1旋灯火13突袭石24,鼓舞士气(初)1增加技力(初)23,眉尖刀,钩 ,钩,飞 ,飞,,,宛野,江夏登,江陵登,,4
118,范疆,范强，三国时期张飞部将。221年，他与张达一起杀死了张飞。在明朝小说《三国演义》里叫做范疆。,61,47,108,突石1旋灯火20,减缓集气(初)1,眉尖刀,圆 ,圆,刀 弓 ,弓,,,新野登,江夏登,梓潼登,,1
119,凌统,凌统（189年－217年或237年），字公绩，吴郡馀杭（今浙江杭州市余杭区）人，三国时期吴国名将。凌操之子。少有盛名，为别部司马，行破贼校尉。建安十三年（208年），孙权再次攻打江夏，凌统部队为先锋，斩敌将张硕，破其水军，吴军最终得以斩黄祖，大胜而还。被孙权任为承烈都尉。之后，随周瑜在乌林大败曹操，攻打曹仁所在的江陵，使曹仁退走。升迁为校尉。建安二十年（215年），随军攻破皖，升为荡寇中郎将，领沛相。又随吕蒙取长沙、零陵、桂阳三郡，任右部督。从益阳回来后，跟随孙权攻打合肥。孙权未能攻下合肥而撤军。撤军时，前部军队已经出发，魏将张辽等突然出现在津北，包围孙权。凌统率亲近士兵三百冲入敌围，护卫孙权突围而出。凌统回身再战，左右士兵全部战死，凌统依然亲自斩杀数十敌兵。直到孙权彻底安全后才退还。因此，凌统创伤甚重，多亏卓氏良药才得以不死。战后，被拜为偏将军。凌统在军旅中亲贤礼士，轻财重义，有国士之风。建安二十二年（217年），受命去接纳山中之人，一路上很受敬仰和欢迎，得精兵万余人。事毕病卒。（概述内图片来源：清代修《浙江吴兴葑溪凌氏近谱》）,83,60,143,连弩1伏兵班阵7神剑13冰柱群峰21驷冲车26飞矢烈震34,保留气力(初)1增强攻击(初)13强化武将(初)2525,短锥枪,鱼 钩 ,钩,刀 ,刀,,,,予章登,建业登,,5
120,凌操,凌操（？—203年），吴郡余杭（今浙江杭州市余杭区）人，东汉末年名将。凌统之父。其人“轻便有胆气”。早年跟随孙策转战江东。每从征伐，常奋勇当先。驻守永平（今江苏溧阳），平治山越，百姓威服，迁为破贼校尉。[1] 建安八年（203年）十一月，从孙权西伐江夏黄祖，凌操轻舟当先，杀入夏口，破敌前锋，却不幸被甘宁射杀。《吴书》载：甘宁以善射，将兵在后，射杀校尉凌操。[1] ,82,48,130,飞矢1鬼戟7冰柱刺14龙炮21神剑闪28火牛群舞34,后选出阵1混乱敌军(初)25,铜殳,方 鱼 ,方,枪 ,枪,,予章野,予章登,,,,3
121,夏侯玄,夏侯玄（209年～254年），字泰初[1] （《三国志》等作太初[2] ），沛国谯县（今安徽省亳州市）人。三国时期曹魏大臣、思想家、文学家，征南大将军夏侯尚之子，大将军曹爽的表弟[3] 。夏侯玄少有名望，仪表出众，时人称为“朗朗如日月之入怀”。魏文帝黄初六年（225年），袭封昌陵乡侯。魏明帝时，历任散骑黄门侍郎、羽林监。少帝曹芳继位后，拜散骑常侍、中护军，保卫皇宫。后任征西将军，任内与曹爽策划骆谷之役，大失人心。高平陵政变后，被夺去兵权，改任大鸿胪、太常卿。嘉平六年（254年），中书令李丰与外戚张缉密谋杀死大将军司马师，改以夏侯玄执政。事泄被杀，夷灭三族，夏侯玄死时年仅四十六岁。著有文集三卷，如今已佚。政治上，提出了“审官择人”、“除重官”、“改服制”等制度，被太傅司马懿评价“皆大善”。博学多识，才华出众，精通玄学，成为“四聪”之一，与何晏等人开创了魏晋玄学的先河，是早期的玄学领袖人物。概述图片来源：[4] ,44,76,120,地泉冲1炎龙8雷光波动15后伏连兵23地泉鲸浪31,减缓集气(初)1恢复体力(初)7增加经验(初)16偷袭敌军24鼓舞士气(高)16偷袭敌军24鼓舞士气(高)31,直剑,冲 ,冲,刀 飞 ,刀,,,,,邺野,,6
122,夏侯和,夏侯和，生卒年不详，字义权，沛国谯（今安徽亳州）人，名将夏侯渊第七子。三国时期魏臣，魏元帝时任相国左司马、侍郎。咸熙元年（264）魏将钟会灭蜀后反叛，时和正出使成都，抵制钟会。钟会平，封为乡侯。晋朝建立后为光禄勋。,62,85,147,伏兵组阵1炎龙7伏兵排阵14雷光振杀21虎咆阳炎26炎龙杀阵33,离间计(初)1增加技力(初)8扰乱敌将(中)13保留气力(中)26减少疲劳(高)13保留气力(中)26减少疲劳(高)32减缓集气(高)38,眉尖刀,钩 ,钩,枪 ,枪,,,,,长安野,,5
123,夏侯尚,夏侯尚（？～226年），字伯仁，沛国谯郡（今安徽省亳州市）人。[1] 三国时期曹魏名将，征西将军夏侯渊的堂侄。[2] 曹操平定冀州，以为军司马、五官将文学，迁黄门侍郎，随曹彰远征乌桓，得胜归来。与魏文帝曹丕亲近友好，以为征南将军，领荆州刺史，假节、都督南方诸军事，攻拔蜀国上庸，平定三郡九县，升为征南大将军；江陵击败吴将诸葛瑾，升为荆州牧，封昌陵乡侯。黄初七年（226年），去世[3] ，谥号为悼，其子夏侯玄继嗣。[4] 正始四年，配享魏武帝曹操庙庭。[5] ,73,68,141,落石1八门金锁9龙炮18烈火旋灯27,降敌士气(初)1恢复体力(初)10逼近敌军19乱阵2919乱阵29,铜殳,圆 雁 钩 ,圆,炼 铁 ,炼,,,,长安登,长安登,夏侯渊,4
124,夏侯威,夏侯威（生卒年不详，）字季权，沛国谯（今安徽亳州）人。三国时期曹魏将领，征西将军夏侯渊第四子，右将军夏侯霸之弟。夏侯威性格任侠，历荆、兖二州刺史，并与曹丕、曹植等相友善。其时泰山人羊祜，博学能属文，善谈论；夏侯威深异其才，乃以其兄夏侯霸之女嫁于羊祜为妻，後羊祜果成一代名将。沛国朱建平善于相术，一次于曹丕宴会上谓夏侯威道：“你四十九岁时将位至州牧，然而亦当有危厄，此厄若得过，则你可年至七十，致位公辅。”后来夏侯威任兖州刺史，并在四十九岁时，于其年十二月上旬得疾；夏侯威念建平之言，自以为必死，于是预作遗令及送丧之备物，尽使完办。谁料其疾至同月下旬时忽尔转差，然后又渐平复。十二月三十日黄昏，夏侯威请郡中纪纲大吏延客设酒，并指建平之戒言也并非必准。然而夏侯威罢客之後，闭上双目疾病复动，于当晚夜半逝世，谥号穆侯。[1] ,77,70,147,刀剑乱1太极门8冰柱刺16烈火旋灯23太极华阵30,鼓舞士气(初)1增加技力(初)9降敌士气(中)16劝降25快速集气(中)16劝降25快速集气(中)33,眉尖刀,圆 ,圆,枪 弩 ,弩,,,,,徐州野,,5
125,夏侯恩,夏侯恩是古典小说《三国演义》中的人物，为曹操随身之背剑心腹。曹操有宝剑二口：一名“倚天剑”，一名“青釭剑”。倚天剑镇威，青釭剑杀人。倚天剑曹操自佩之，青釭剑令夏侯恩佩之。那青釭剑削铁如泥，锋利无比。《三国演义》第四十一回《刘玄德携民渡江 赵子龙单骑救主》中描写：当时夏侯恩自恃勇力，背着曹操，只顾引人抢夺掳掠。不想撞着赵云，被他一枪刺死。青釭剑自此归赵云所有。,72,58,130,突石1太极门9突袭石19地茅乱刺27,减缓集气(初)1强化士兵(初)13增加经验(初)2626,直剑,方 雁 ,方,弓 ,弓,,陈留野曹操,许昌登曹操,曹操,曹操,,3
126,夏侯惇,夏侯惇（？－220年6月13日），字元让，沛国谯县（今安徽省亳州市）人。汉末三国时期曹魏名将，西汉开国元勋夏侯婴的后代。少年时以勇气闻名于乡里。曹操起兵，夏侯惇是其最早的将领之一。与吕布军交战时，曾一度被擒为人质，又被流矢射瞎左眼。多次为曹操镇守后方，曾率军民阻断太寿河水，筑陂塘灌溉农田，使百姓受益，功勋卓著。官至大将军，封高安乡侯。追谥忠侯（《史记·谥法解》云：“危身奉上曰忠。险不辞难。”）。青龙元年（233年），得以配享太祖（曹操）庙庭。夏侯惇一生多在军旅，仍不忘治学。他常亲自迎师，虚心求教。他为人俭朴，所得赏赐全部分给将士。一生不置产业，至死家无余财。（概述内图片来源：叶雄《三国演义人物谱》）,96,70,166,落日弓1地茅刺6冲车13烈火旋灯19八卦奇阵23三圣华斩28火牛群舞35鬼哭神号40,减缓集气(初)1增强攻击(初)8扰乱敌将(中)16劝降25恢复技力(中)16劝降25恢复技力(中)33,短锥枪,锥 玄 ,锥,枪 ,枪,陈留野,陈留登曹操,长安登曹操,江陵登曹操,新野登曹操,,6
127,夏侯渊,夏侯渊（？－219年），字妙才，沛国谯县（今安徽亳州市谯城区）人。东汉末年名将，太仆夏侯婴后代。[1] 夏侯渊早年跟随曹操征伐四方，先后任骑都尉和陈留、颍川二郡太守。参加官渡之战，负责督运粮草。擅长千里奔袭，作战出其不意，先后平定昌豨、徐和、雷绪、商曜等叛乱。渭南之战后，夏侯渊率军剿灭关陇地区的韩遂余部以及羌、氐部落，威震关右地区。凭借功勋，累迁征西将军，受封博昌亭侯。张鲁投降曹操后，夏侯渊负责镇守汉中。建安二十四年，刘备率军进攻汉中，夏侯渊被黄忠袭杀。死后谥号为愍[34] ，配享太祖（曹操）庙庭。[2] ,93,60,153,连弩1太极门6连弩激射12火牛阵18伏兵连阵25炬石轰30炎墙36,减缓集气(初)1诈败13增加经验(初)2626,短锥枪,方 圆 ,方,枪 ,枪,陈留野,陈留登曹操,徐州登曹操,长安登曹操,曹操,,5
128,夏侯楙,夏侯楙（máo），字子林，沛国谯县（今安徽省亳州市）人，曹魏名将夏侯惇之子[1] ，三国时期魏国官员、将领，其妻为曹操之女清河公主。在魏国历任侍中、尚书、安西将军、镇东将军，假节，封列侯。曾一度驻守曹魏都城长安，但蜀汉北伐后就被调离。,63,48,111,突石1回天术13突袭石25,降敌士气(初)1混乱敌军(初)25,短锥枪,玄 ,玄,刀 弩 ,刀,,,,长安登,宛登,,2
129,夏侯德,夏侯德是历史小说《三国演义》中的人物，出现在小说第七十回中。夏侯尚的兄长。在汉中镇守天荡山，接纳战败的张郃、夏侯尚等人。在与蜀将黄忠、严颜交战时，军粮被蜀军点着，在提兵前去救火时被严颜所斩。,68,66,134,突石1伏兵班阵13突剑四方24,快速集气(初)1混乱敌军(初)9鼓舞士气(中)19包围敌军2819包围敌军28,眉尖刀,方 ,方,枪 ,枪,,,,许昌登,,,4
130,夏侯霸,夏侯霸，生卒年不详，字仲权，沛国谯（今安徽亳州）人，三国时期魏国和蜀汉后期的重要将领，征西将军夏侯渊次子，其母为曹操妻室丁氏的妹妹。在魏国官至右将军、讨蜀护军，封爵博昌亭侯，屯驻陇西；在蜀汉时为主要北伐将领，多次参加御蜀和伐魏战争。嘉平元年（249年），司马懿发动政变，诛杀曹爽。征西将军夏侯玄被调入朝，由雍州刺史郭淮接任征西将军。夏侯玄是夏侯霸的堂侄、曹爽的表弟。夏侯霸从前得到曹爽的厚待，与郭淮不和。曹爽被司马懿杀死后，他心中不安，投奔蜀汉，被任命为车骑将军，曾随姜维伐魏。（概述内图片来源：取自《图像三国志》）,90,68,158,八面火1鬼戟6突袭石12火牛阵18太极华阵24火牛群舞31剑轮舞37,减少疲劳(初)1诈败9喝阻敌军(初)19乱阵2919乱阵29,眉尖刀,方 雁 ,方,刀 炼 ,刀,,,,,寿春登,夏侯渊,4
131,孙尚香,孙夫人（？—约223），吴郡富春（今浙江省杭州市富阳区）人，东汉末年讨虏将军孙权之妹，曾为左将军刘备之妻。史书《三国志》称之为孙夫人。民间戏剧称之为孙尚香。为巩固孙刘联盟，孙夫人嫁给刘备三年，后来大归回吴，夹在两国之间，有着与传统女性截然不同的桀骜不驯的个性，是有名的侠女，孙夫人在许多小说，戏剧和影视里被不断描绘。,82,74,156,落日弓1伏兵班阵8冲车14乱飞矢20伏兵连阵28炬石轰33,减缓集气(初)1混乱敌军(初)8降敌士气(中)15乱阵25鼓舞士气(高)15乱阵25鼓舞士气(高)31,直剑,锥 雁 鱼 ,鱼,弓 女 ,女,孙坚,孙坚,孙坚,予章野孙权,建业野孙权,孙坚,6
132,孙朗,暂无,62,44,106,飞矢1地茅刺21,保留气力(初)1,铜殳,玄 ,玄,炼 飞 ,炼,,,,予章登,吴登,,4
133,孙桓,孙桓（198年－223年），字叔武，吴郡富春（今浙江杭州富阳区）人，三国时期吴国建武将军。孙河第三子。仪容端正，器怀聪明，博学强记，能论议应对，孙权常称为“宗室颜渊”。初擢为武卫都尉。建安二十四年（219年），参与由吕蒙指挥的袭击荆州行动，从讨关羽于华容，招揽关羽余众，得五千人以及大量牛马器械。黄武元年（222年），孙桓二十五岁，拜安东中郎将，跟随陆逊抗击进攻东吴的刘备。当时刘备率领众多兵众进攻，满山都是蜀军，孙桓奋战，与陆逊等协力击破蜀军。刘备兵败逃走，孙桓截击，“斩上夔道，扼要径”，差点生擒刘备。战后孙桓因功拜建武将军，封丹徒侯，督牛渚，修筑横江坞，期间逝世。,75,72,147,八面火1八门金锁8冰柱刺16冰柱群峰24太极华阵31,减少疲劳(初)1增加体力(初)8扰乱敌将(中)16减少疲劳(中)25减缓集气(中)16减少疲劳(中)25减缓集气(中)33,眉尖刀,钩 ,钩,弓 武 ,武,,,,,庐江登,,4
134,孙乾,孙乾（？－约215年），字公祐。北海郡（治今山东昌乐西）人。[1] 东汉末年刘备帐下幕僚。最初被大儒郑玄推荐于州里。刘备领徐州，以孙乾为从事。自徐州跟随刘备，多次作为刘备的使臣。刘备定益州后，拜孙乾为秉忠将军，其待遇仅次于麋竺，与简雍相同。不久后便病逝。,41,80,121,命疗术1虎咆7火箭烈15雷光振杀24火雷爆30,后选出阵1快速集气(初)7增加经验(初)13太公阵20减缓集气(中)13太公阵20减缓集气(中)28减少疲劳(高)35,直剑,雁 钩 ,雁,铁 ,铁,,下邳登,新野登,江夏登,汉中登,,4
135,孙坚,孙坚，1983年5月23日[42] 出生于陕西省西安市，中国内地男演员、歌手[36] ，毕业于中央戏剧学院。[35] 2004年，出演个人首部电视剧《摩梭女儿国》，从而进入演艺圈。2007年，因在年代剧《恰同学少年》中饰演王子鹏一角而被观众熟知[1] 。2011年，凭借古装剧《宫锁珠帘》获得更多关注[2] 。2012年，参演古装剧《美人无泪》[3] 。2013年，主演的民国剧《爱在春天》播出[4] 。2014年，主演蒋家骏执导的时装都市剧《爱的妇产科》[5] 。2018年，在魔幻剧《九州·海上牧云记》中饰演牧云陆[6] 。2019年，出演古装武侠剧《有翡》。2020年，主演的当代剧《湾区儿女》播出[26] 。,94,85,179,落石1回天术7八面火转13火牛阵17连弩狂涛24飞矢烈震29旋龙天舞36集火柱40,后选出阵1增加体力(初)6化解计策14包围敌军19恢复技力(中)14包围敌军19恢复技力(中)25强化士兵(中)33快速集气(高)39,直剑,锥 钩 ,锥,刀 ,刀,下邳登,长沙登,,,,,4
136,孙翊,孙翊（184年～204年），又名孙俨，字叔弼，是孙坚的第三子，孙策、孙权的弟弟。曾被大臣推荐为继承者。孙权继位后，孙翊任丹杨太守，后被身边的人边鸿刺杀。,81,53,134,突石1旋灯火9冲车14烈火旋灯22连弩狂涛30,后选出阵1强化士兵(初)22,眉尖刀,方 玄 ,玄,刀 ,刀,孙坚,孙坚,建业登孙坚,孙权,孙权,孙坚,4
137,孙登,孙登（209年－241年），字子高。吴郡富春（今浙江富阳）人。三国时期孙吴政治人物，吴大帝孙权长子，会稽王孙亮、景帝孙休异母兄。黄龙元年（229年），孙权称帝，立孙登为皇太子。他多次劝谏孙权，对时政多有匡弼。镇守武昌时，处理政务谨慎得体。嘉禾元年（232年），还居建业。赤乌四年（241年），孙登去世，年仅三十三岁，谥号宣太子。临终时上疏举荐贤才。孙权深感悲恸，此后只要谈到孙登就流泪不止。,33,85,118,伏兵组阵1火雷7御飞刀14木轮强袭20绝命坝27赤焰洪流33,离间计(初)1恢复技力(初)7逼近敌军13乱阵20鼓舞士气(高)13乱阵20鼓舞士气(高)26喝阻敌军(中)33减缓集气(高)39,直剑,方 ,方,飞 ,飞,,,,,庐江野,,5
138,孙皓,孙皓（242年～284年），字元宗，幼名彭祖，又字皓宗，吴郡富春县（今浙江省杭州市富阳区）人，吴大帝孙权之孙，吴文帝孙和之子，东吴末代皇帝（264年～280年5月1日）。孙皓在位初期，施行明政，后沉溺酒色，专于杀戮，变得昏庸暴虐，名声很大，惊动华夏，令晋武帝感到惶怖。[1] 天纪四年（280年），东吴被西晋攻灭。孙皓投降后，被封为归命侯。太康五年（284年），孙皓在洛阳去世。[2] ,79,65,144,突石1伏兵班阵8神剑16龙炮激射22伏兵连阵30,减缓集气(初)1诈败9扰乱敌将(中)20劝降2920劝降29,铜殳,箭 ,箭,弓 ,弓,,,,,建业野,,1
139,孙策,孙策（175年—200年5月5日[1] ），字伯符，吴郡富春（今浙江省杭州市富阳区）人。破虏将军孙坚长子、吴大帝孙权长兄。东汉末年割据江东一带的军阀，汉末群雄之一，孙吴政权的奠基者之一。《三国演义》称其武勇犹如霸王项羽，绰号“小霸王”。孙策为继承父亲孙坚未完成的事业而屈事袁术。兴平二年（195年），孙策征得袁术许可，东渡长江，进攻樊能、于糜，又在当利口袭击张英。并以曲阿为据点，与扬州刺史刘繇进行决战，大败刘繇。建安元年（196年），率兵进攻会稽王朗和吴郡严白虎。建安二年（197年），袁术僭越称帝后，孙策与袁术决裂；同年夏，被朝廷任命为骑都尉，袭父爵乌程侯，兼任会稽太守。建安三年（198年），朝廷任命孙策为讨逆将军，并封为吴侯。建安四年（199年），孙策击败庐江太守刘勋及刘表部将黄祖。建安五年（200年）初，在夺取豫章郡后统一江东；同年4月，正当孙策准备发兵北上之时，在丹徒狩猎时为许贡三门客所伤，不久后身亡，年仅二十六岁。其弟孙权接掌孙策势力，并于称帝后，追谥孙策为长沙桓王。（概述内图片来源：金史《南陵无双谱》）[2] ,95,83,178,刀剑乱1太极门7突剑四方11地茅乱刺18乱刀狂舞24火牛群舞30分身斩34日月轮斩40,保留气力(初)1诈败6增加经验(初)15劝降20快速集气(中)15劝降20快速集气(中)26混乱敌军(中)34,短锥枪,方 钩 ,方,枪 ,枪,孙坚,长沙登孙坚,孙坚,孙权,孙权,孙坚,5
140,孙韶,孙韶（188年－241年），字公礼，吴郡富春（今浙江杭州富阳区）人，三国时期吴国宗室、将领。孙韶的伯父孙河，本姓俞，孙策很喜爱他，便赐姓孙，将他列名孙氏家族之中。[1] 建安九年（204年），孙河被杀，孙韶统帅孙河的军队，被孙权任命为承烈校尉。后任广陵太守、偏将军。黄初元年（220年），孙权受封吴王，升任他为扬威将军，封建德侯。黄龙元年（229年），孙权称帝，任命孙韶为镇北将军。孙权后加任孙韶兼任幽州牧，假节。赤乌四年（241年），孙韶去世。,82,64,146,落石1旋灯火8突袭石14龙炮激射21伏兵连阵28飞矢烈震35,减少疲劳(初)1增加体力(初)11强化武将(初)21保护主将3021保护主将30,铜殳,方 玄 钩 ,方,刀 ,刀,孙坚,孙坚,孙坚,予章登孙权,庐江登孙权,,3
